workload,algorithm,page_faults,memory_accesses,hit_ratio,miss_ratio,write_operations,read_operations,write_ratio,disk_writes,execution_time,clock_hand_position,pages_with_reference_bit,dirty_pages,loaded_frames,current_position,references_remaining
database,fifo,4034,5000,0.1932,0.8068,1992,3008,0.3984,0,0.014723777770996094,,,,,,
database,lru,4012,5000,0.1976,0.8024,1992,3008,0.3984,0,0.016291141510009766,,,,,,
database,clock,4026,5000,0.1948,0.8052,1992,3008,0.3984,0,0.014504671096801758,1.0,7.0,5.0,16.0,,
database,optimal,4411,5000,0.1178,0.8822,1992,3008,0.3984,0,1.144153118133545,,,,16.0,5010.0,-10.0
webserver,fifo,3466,5000,0.3068,0.6932,515,4485,0.103,0,0.013380765914916992,,,,,,
webserver,lru,3319,5000,0.3362,0.6638,515,4485,0.103,0,0.014887094497680664,,,,,,
webserver,clock,3392,5000,0.3216,0.6784,515,4485,0.103,0,0.013256072998046875,9.0,10.0,1.0,16.0,,
webserver,optimal,4269,5000,0.1462,0.8538,515,4485,0.103,0,0.4710986614227295,,,,16.0,5010.0,-10.0
scientific,fifo,1896,5000,0.6208,0.3792,1067,3933,0.2134,0,0.00917673110961914,,,,,,
scientific,lru,1896,5000,0.6208,0.3792,1067,3933,0.2134,0,0.009609222412109375,,,,,,
scientific,clock,1896,5000,0.6208,0.3792,1067,3933,0.2134,0,0.008810997009277344,13.0,10.0,8.0,16.0,,
scientific,optimal,2671,5000,0.4658,0.5342,1067,3933,0.2134,0,0.6452302932739258,,,,16.0,5010.0,-10.0
gaming,fifo,3076,5000,0.3848,0.6152,1441,3559,0.2882,0,0.01113748550415039,,,,,,
gaming,lru,2957,5000,0.4086,0.5914,1441,3559,0.2882,0,0.012134075164794922,,,,,,
gaming,clock,3006,5000,0.3988,0.6012,1441,3559,0.2882,0,0.011037588119506836,1.0,6.0,4.0,16.0,,
gaming,optimal,4427,5000,0.1146,0.8854,1441,3559,0.2882,0,2.3781661987304688,,,,16.0,5010.0,-10.0
os,fifo,4602,5000,0.0796,0.9204,1279,3721,0.2558,0,0.016988515853881836,,,,,,
os,lru,4588,5000,0.0824,0.9176,1279,3721,0.2558,0,0.02122807502746582,,,,,,
os,clock,4589,5000,0.0822,0.9178,1279,3721,0.2558,0,0.017566919326782227,11.0,8.0,3.0,16.0,,
os,optimal,4740,5000,0.052,0.948,1279,3721,0.2558,0,1.202061414718628,,,,16.0,5010.0,-10.0
